818,25,25,Benefits - Sanction Missed Appointment,2,1
1485,24,24,Benefits - Sanction Job Search,1,1
1485,38,38,Debts - Rent Arrears,20,1
1591,29,29,Benefits - New Claim,7,1
1592,26,26,Benefits - Change of Benefit/Circumstance,4,1
1593,40,40,Benefits - Sanction Other/Unknown,3,1
1594,34,34,Debts - Bank Charges,19,1
1595,25,25,Benefits - Sanction Missed Appointment,2,1
1596,13,13,Budgeting Issues,21,1
1597,13,13,Budgeting Issues,21,1
1598,29,29,Benefits - New Claim,7,1
1599,24,24,Benefits - Sanction Job Search,1,1
1599,28,28,Benefits - Doubt,6,1
1600,34,34,Debts - Bank Charges,19,1
1600,39,39,Housing Issues - New Tenancy,24,1
1601,13,13,Budgeting Issues,21,1
1601,21,21,No Income,30,0
1602,25,25,Benefits - Sanction Missed Appointment,2,1
1603,29,29,Benefits - New Claim,7,1
1604,3,3,Debts - Loan Repayments,17,1
1604,13,13,Budgeting Issues,21,1
1605,38,38,Debts - Rent Arrears,20,1
1606,13,13,Budgeting Issues,21,1
1607,21,21,No Income,30,0
1608,3,3,Debts - Loan Repayments,17,1
1608,38,38,Debts - Rent Arrears,20,1
1609,25,25,Benefits - Sanction Missed Appointment,2,1
1610,39,39,Housing Issues - New Tenancy,24,1
1611,25,25,Benefits - Sanction Missed Appointment,2,1
1612,39,39,Housing Issues - New Tenancy,24,1
1613,39,39,Housing Issues - New Tenancy,24,1
1614,39,39,Housing Issues - New Tenancy,24,1
1615,36,36,Bills - Council Tax,16,1
1616,29,29,Benefits - New Claim,7,1
1617,24,24,Benefits - Sanction Job Search,1,1
1618,24,24,Benefits - Sanction Job Search,1,1
1619,29,29,Benefits - New Claim,7,1
1620,13,13,Budgeting Issues,21,1
1620,30,30,Benefits - Direct Deductions,8,1
1621,5,5,Domestic Issues,25,1
1622,29,29,Benefits - New Claim,7,1
1623,1,1,Substance Misuse,34,1
1623,13,13,Budgeting Issues,21,1
1624,29,29,Benefits - New Claim,7,1
1625,29,29,Benefits - New Claim,7,1
1626,24,24,Benefits - Sanction Job Search,1,1
1627,29,29,Benefits - New Claim,7,1
1628,25,25,Benefits - Sanction Missed Appointment,2,1
1629,38,38,Debts - Rent Arrears,20,1
1630,29,29,Benefits - New Claim,7,1
1631,8,8,Fleeing Domestic Violence,26,1
1632,30,30,Benefits - Direct Deductions,8,1
1632,36,36,Bills - Council Tax,16,1
1633,5,5,Domestic Issues,25,1
1633,13,13,Budgeting Issues,21,1
1634,30,30,Benefits - Direct Deductions,8,1
1635,1,1,Substance Misuse,34,1
1636,39,39,Housing Issues - New Tenancy,24,1
1637,25,25,Benefits - Sanction Missed Appointment,2,1
1638,30,30,Benefits - Direct Deductions,8,1
1638,35,35,"Bills - Utilities (Gas, Electricity, Water)",15,1
1639,29,29,Benefits - New Claim,7,1
1640,1,1,Substance Misuse,34,1
1641,26,26,Benefits - Change of Benefit/Circumstance,4,1
1642,24,24,Benefits - Sanction Job Search,1,1
1643,13,13,Budgeting Issues,21,1
1643,38,38,Debts - Rent Arrears,20,1
1644,3,3,Debts - Loan Repayments,17,1
1644,35,35,"Bills - Utilities (Gas, Electricity, Water)",15,1
1645,26,26,Benefits - Change of Benefit/Circumstance,4,1
1646,13,13,Budgeting Issues,21,1
1647,26,26,Benefits - Change of Benefit/Circumstance,4,1
1648,24,24,Benefits - Sanction Job Search,1,1
1649,29,29,Benefits - New Claim,7,1
1650,30,30,Benefits - Direct Deductions,8,1
1651,30,30,Benefits - Direct Deductions,8,1
1652,32,32,Benefits - Other Reason,14,1
1653,5,5,Domestic Issues,25,1
1654,26,26,Benefits - Change of Benefit/Circumstance,4,1
1655,26,26,Benefits - Change of Benefit/Circumstance,4,1
1656,13,13,Budgeting Issues,21,1
1657,37,37,Housing Issues - Relationship Breakdown,23,1
1657,39,39,Housing Issues - New Tenancy,24,1
1658,24,24,Benefits - Sanction Job Search,1,1
1659,37,37,Housing Issues - Relationship Breakdown,23,1
1660,9,9,Housing Issues - Eviction,22,1
1661,13,13,Budgeting Issues,21,1
1661,35,35,"Bills - Utilities (Gas, Electricity, Water)",15,1
1662,13,13,Budgeting Issues,21,1
1663,30,30,Benefits - Direct Deductions,8,1
1664,13,13,Budgeting Issues,21,1
1664,30,30,Benefits - Direct Deductions,8,1
1665,24,24,Benefits - Sanction Job Search,1,1
1666,1,1,Substance Misuse,34,1
1666,39,39,Housing Issues - New Tenancy,24,1
1667,29,29,Benefits - New Claim,7,1
1668,35,35,"Bills - Utilities (Gas, Electricity, Water)",15,1
1669,35,35,"Bills - Utilities (Gas, Electricity, Water)",15,1
1670,29,29,Benefits - New Claim,7,1
1671,21,21,No Income,30,0
1672,24,24,Benefits - Sanction Job Search,1,1
1673,35,35,"Bills - Utilities (Gas, Electricity, Water)",15,1
1674,3,3,Debts - Loan Repayments,17,1
1674,30,30,Benefits - Direct Deductions,8,1
1675,3,3,Debts - Loan Repayments,17,1
1675,35,35,"Bills - Utilities (Gas, Electricity, Water)",15,1
1676,24,24,Benefits - Sanction Job Search,1,1
1676,40,40,Benefits - Sanction Other/Unknown,3,1
1677,24,24,Benefits - Sanction Job Search,1,1
1678,29,29,Benefits - New Claim,7,1
